method,seed,ACC,ARI,NMI,silhouette,time
kmeans,84,0.8133333333333334,0.5923326221845838,0.6426583176523605,0.4630420362927048,0.0029926300048828125
kmeans,828,0.8533333333333334,0.645147003482001,0.6612870494395352,0.4565352255831263,0.002992391586303711
kmeans,131,0.8333333333333334,0.6201351808870379,0.659486892724918,0.45994823920518635,0.0019621849060058594
kmeans,406,0.8533333333333334,0.645147003482001,0.6612870494395351,0.4565352255831263,0.0029921531677246094
kmeans,725,0.8466666666666667,0.6410058621782706,0.672843838367481,0.45663380641237455,0.0019936561584472656
kmeans,998,0.5666666666666667,0.4606778545574202,0.6566239697856393,0.4869950661129906,0.0009922981262207031
kmeans,49,0.8533333333333334,0.645147003482001,0.6612870494395353,0.4565352255831263,0.0009963512420654297
kmeans,503,0.58,0.46994578558395356,0.6609201554556503,0.49505010710780123,0.0019931793212890625
kmeans,860,0.8133333333333334,0.5923326221845838,0.6426583176523605,0.4630420362927048,0.0029904842376708984
kmeans,117,0.8466666666666667,0.6410058621782706,0.6728438383674812,0.45663380641237455,0.0009996891021728516
